title;description;url;image;link
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/Mixie7/A-minimalistic-to-do-app;1.png;https://mixie7-a-minimalistic-to-do-app-web-2wjvvv.streamlit.app/
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/Mixie7/portfolio-website-1;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Mixie7/pdf-generator;3.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://pythonhow.com;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://pythonhow.com;6.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://github.com/Mixie7/Text-analyser;12.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://pythonhow.com;11.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/Mixie7/invoice-generator;4.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/Mixie7/weather-forecast-app7;16.png
